,節,開催日,相手,スコア,,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
0,1,2.24,FC東京,1-1,A,味スタ,"35,951",晴,60,68,9.3%,11,9.1%,60.1%,21.60,17.41,100.17,7.77,槙野,堀　孝史
1,2,3.4,広島,1-2,H,埼玉,"41,324",晴,48,53,10.5%,13,7.7%,65.3%,21.27,15.74,99.12,9.36,青木,堀　孝史
2,3,3.10,長崎,1-1,A,トラスタ,"15,975",晴,61,55,11.8%,16,6.3%,61.8%,23.05,21.35,85.86,13.34,ズラタン,堀　孝史
3,4,3.18,横浜FM,0-1,H,埼玉,"33,168",曇,49,43,8.7%,10,0.0%,41.0%,11.79,8.25,74.71,15.10,,堀　孝史
4,5,4.1,磐田,1-2,A,エコパ,"21,755",晴,20,47,6.8%,8,12.5%,56.8%,13.63,12.10,60.59,12.32,興梠,堀　孝史
5,6,4.7,仙台,1-0,H,埼玉,"28,984",曇,49,44,9.3%,11,9.1%,45.6%,14.86,12.13,81.29,19.83,興梠,大槻　毅
6,7,4.11,神戸,3-2,A,ノエスタ,"9,758",屋内,50,61,10.9%,12,25.0%,38.3%,12.20,8.12,68.15,14.08,"武藤,岩波,マウリシオ",大槻　毅
7,8,4.15,清水,2-1,H,埼玉,"28,295",曇,45,58,9.3%,11,18.2%,53.2%,17.89,13.23,121.40,13.48,興梠x2,大槻　毅
8,9,4.21,札幌,0-0,H,埼玉,"39,091",晴,58,55,13.8%,16,0.0%,49.7%,22.45,17.39,64.79,12.96,,大槻　毅
9,10,4.25,柏,0-1,A,三協Ｆ柏,"11,257",曇,52,60,7.5%,11,0.0%,46.0%,11.73,10.18,113.54,10.57,,オズワルド　オリヴェイラ
10,11,4.28,湘南,0-1,H,埼玉,"33,132",晴,64,53,10.8%,14,0.0%,62.4%,25.37,20.80,85.74,11.78,,オズワルド　オリヴェイラ
11,12,5.2,川崎Ｆ,2-0,A,等々力,"22,817",雨,50,48,12.8%,12,16.7%,37.9%,11.62,9.59,86.58,14.35,興梠x2,オズワルド　オリヴェイラ
12,13,5.5,鹿島,0-1,A,カシマ,"33,647",晴,50,63,14.0%,16,0.0%,58.4%,18.21,15.06,83.82,9.27,,オズワルド　オリヴェイラ
13,14,5.13,鳥栖,0-0,H,埼玉,"40,137",雨,65,100,9.4%,13,0.0%,62.3%,27.62,22.97,120.07,8.18,,オズワルド　オリヴェイラ
14,15,5.19,Ｇ大阪,0-0,A,吹田Ｓ,"25,361",晴,56,43,8.7%,11,0.0%,52.5%,19.80,14.65,82.27,16.12,,オズワルド　オリヴェイラ
15,16,7.18,名古屋,3-1,H,埼玉,"21,250",晴,52,54,15.2%,15,20.0%,35.8%,12.13,8.53,67.32,13.96,"槙野,遠藤x2",オズワルド　オリヴェイラ
16,17,7.22,Ｃ大阪,1-1,A,ヤンマー,"27,915",晴,59,45,16.2%,19,5.3%,54.9%,17.85,15.42,86.28,11.00,興梠,オズワルド　オリヴェイラ
17,18,7.28,広島,4-1,A,Ｅスタ,"16,944",晴,46,46,9.1%,10,40.0%,44.6%,10.87,8.89,72.49,15.92,"興梠x2,宇賀神,ファブリシオ",オズワルド　オリヴェイラ
18,19,8.1,川崎Ｆ,2-0,H,埼玉,"28,215",晴,44,48,8.0%,9,22.2%,41.1%,10.88,8.52,77.70,15.07,"興梠,ファブリシオ",オズワルド　オリヴェイラ
19,20,8.5,長崎,0-0,H,埼玉,"29,051",晴,57,47,15.1%,16,0.0%,60.8%,17.04,13.46,43.54,7.36,,オズワルド　オリヴェイラ
20,21,8.11,鳥栖,0-1,A,ベアスタ,"19,681",晴,55,47,16.2%,17,0.0%,60.9%,17.99,14.78,77.72,10.33,,オズワルド　オリヴェイラ
21,22,8.15,磐田,4-0,H,埼玉,"33,824",晴,59,55,14.5%,17,23.5%,50.5%,16.53,12.02,82.74,11.29,"槙野,ファブリシオx3",オズワルド　オリヴェイラ
22,23,8.19,清水,3-3,A,アイスタ,"14,914",晴,59,46,17.9%,22,13.6%,48.8%,15.09,10.28,65.22,18.71,"阿部,ファブリシオ,槙野",オズワルド　オリヴェイラ
23,24,8.26,名古屋,1-4,A,豊田ス,"26,410",晴,58,57,21.4%,21,0.0%,42.3%,16.94,13.69,67.31,10.24,OG,オズワルド　オリヴェイラ
24,25,9.1,Ｃ大阪,1-2,H,埼玉,"27,337",雨一時雷,53,48,11.7%,12,8.3%,53.3%,19.90,16.28,55.73,12.84,李,大槻　毅
25,26,9.16,横浜FM,2-1,A,日産ス,"41,686",晴,43,48,8.3%,9,22.2%,37.4%,7.63,6.31,57.02,20.76,"宇賀神,武藤",大槻　毅
26,27,9.23,神戸,4-0,H,埼玉,"55,689",晴,57,66,18.3%,17,23.5%,36.7%,14.62,11.51,81.59,11.31,"青木,興梠,武藤,長澤",オズワルド　オリヴェイラ
27,28,9.30,柏,3-2,H,埼玉,"26,431",曇のち雨,56,56,14.8%,17,17.6%,57.8%,21.85,16.61,109.52,10.78,"長澤,興梠x2",オズワルド　オリヴェイラ
28,29,10.7,仙台,1-1,A,ユアスタ,"18,276",晴,51,67,15.0%,16,6.3%,44.4%,15.90,12.56,77.36,11.10,橋岡,オズワルド　オリヴェイラ
29,30,10.20,鹿島,3-1,H,埼玉,"46,893",晴のち曇のち雨,53,45,14.2%,15,20.0%,54.3%,17.85,13.18,81.59,13.15,"岩波,武藤x2",オズワルド　オリヴェイラ
30,31,11.3,Ｇ大阪,1-3,H,埼玉,"43,943",晴,58,49,15.0%,16,6.3%,54.3%,16.91,14.94,85.47,10.50,興梠,オズワルド　オリヴェイラ
31,32,11.10,札幌,2-1,A,札幌厚別,"12,723",曇,51,54,10.4%,13,15.4%,44.8%,12.03,11.17,75.20,18.84,武藤x2,オズワルド　オリヴェイラ
32,33,11.24,湘南,1-2,A,ＢＭＷス,"14,711",晴時々曇,62,49,23.0%,28,3.6%,59.1%,25.19,19.17,88.62,14.89,興梠,オズワルド　オリヴェイラ
33,34,12.1,FC東京,3-2,H,埼玉,"46,770",晴,29,40,6.9%,10,30.0%,46.4%,10.08,7.29,92.83,21.01,"柴戸,李x2",オズワルド　オリヴェイラ
