,節,開催日,相手,スコア,,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
0,1,2.23,横浜FM,2-3,H,パナスタ,"27,064",晴,56,47,7.5%,10,20.0%,42.8%,11.40,9.75,78.24,14.30,"小野瀬,藤春",宮本　恒靖
1,2,3.2,清水,4-2,A,アイスタ,"16,710",晴,59,43,16.4%,20,20.0%,61.3%,27.60,23.47,89.12,12.22,"小野瀬,アデミウソンx2,ファンウィジョ",宮本　恒靖
2,3,3.9,名古屋,2-3,H,パナスタ,"26,865",晴,54,37,8.1%,10,10.0%,50.3%,16.98,14.72,99.23,14.61,"アデミウソン,OG",宮本　恒靖
3,4,3.17,川崎Ｆ,1-0,A,等々力,"23,982",晴一時曇,48,32,7.4%,9,11.1%,45.9%,12.99,11.17,98.37,17.45,三浦,宮本　恒靖
4,5,3.30,神戸,3-4,H,パナスタ,"37,076",雨,68,45,17.1%,20,15.0%,46.7%,23.63,17.77,71.60,13.21,"アデミウソン,ファンウィジョ,倉田",宮本　恒靖
5,6,4.6,広島,0-3,A,Ｅスタ,"13,331",晴,49,42,8.5%,10,0.0%,65.6%,23.63,21.59,94.74,11.22,,宮本　恒靖
6,7,4.14,浦和,0-1,H,パナスタ,"27,870",雨,51,47,10.9%,13,0.0%,55.5%,15.75,12.64,76.35,13.49,,宮本　恒靖
7,8,4.20,大分,1-1,H,パナスタ,"17,727",晴,57,83,21.7%,20,5.0%,41.0%,17.37,15.45,56.91,9.38,遠藤,宮本　恒靖
8,9,4.28,仙台,1-2,A,ユアスタ,"16,004",晴,60,42,7.6%,10,10.0%,49.5%,18.27,12.35,74.23,17.38,金英權,宮本　恒靖
9,10,5.4,FC東京,0-0,H,パナスタ,"33,905",晴,55,44,15.9%,18,0.0%,62.6%,18.30,14.86,74.61,12.10,,宮本　恒靖
10,11,5.11,鳥栖,1-3,A,駅スタ,"14,789",晴,44,45,5.0%,6,16.7%,52.1%,13.26,11.07,65.71,10.80,食野亮,宮本　恒靖
11,12,5.18,Ｃ大阪,1-0,H,パナスタ,"35,861",曇,48,42,9.2%,11,9.1%,51.0%,15.38,12.69,111.50,17.35,倉田,宮本　恒靖
12,13,5.25,札幌,0-0,A,札幌ド,"15,690",屋内,37,38,6.9%,7,0.0%,47.2%,13.95,12.54,77.23,15.40,,宮本　恒靖
13,14,6.1,鹿島,1-1,H,パナスタ,"30,495",晴,46,36,7.5%,8,12.5%,53.5%,17.60,14.20,88.20,12.79,食野亮,宮本　恒靖
14,15,6.15,磐田,0-0,A,ヤマハ,"12,352",雨,46,33,12.4%,15,0.0%,55.2%,19.61,13.55,81.59,15.16,,宮本　恒靖
15,16,6.22,湘南,1-0,H,パナスタ,"19,162",曇,54,42,16.2%,18,5.6%,66.4%,24.31,20.68,69.18,10.78,食野亮,宮本　恒靖
16,17,6.29,松本,3-1,A,サンアル,"15,690",曇のち雨,41,44,13.3%,17,17.6%,62.4%,18.53,14.97,70.18,12.64,"倉田,ファンウィジョx2",宮本　恒靖
17,18,7.7,FC東京,1-3,A,味スタ,"28,209",雨,73,40,9.5%,11,9.1%,55.7%,26.34,18.95,81.31,15.12,小野瀬,宮本　恒靖
18,19,7.13,清水,1-0,H,パナスタ,"25,719",雨,57,48,19.3%,21,4.8%,57.5%,25.06,17.40,87.98,15.92,矢島,宮本　恒靖
19,20,7.20,名古屋,2-2,A,豊田ス,"42,975",曇,45,47,10.7%,9,22.2%,52.9%,20.32,18.02,63.23,11.75,"アデミウソン,宇佐美",宮本　恒靖
20,21,8.2,神戸,2-2,A,ノエスタ,"21,276",晴,51,38,12.6%,14,14.3%,42.8%,15.77,11.00,67.37,18.22,"倉田,パトリック",宮本　恒靖
21,22,8.10,広島,1-1,H,パナスタ,"30,476",晴,55,55,19.8%,20,5.0%,60.8%,24.85,20.94,87.73,11.81,倉田,宮本　恒靖
22,23,8.18,磐田,1-1,H,パナスタ,"37,334",晴,68,49,15.2%,16,6.3%,63.1%,31.72,24.26,78.17,13.37,小野瀬,宮本　恒靖
23,24,8.23,鹿島,2-2,A,カシマ,"16,063",曇,46,43,12.4%,11,18.2%,48.4%,12.90,11.36,64.65,13.73,"アデミウソン,パトリック",宮本　恒靖
24,25,8.31,横浜FM,1-3,A,ニッパツ,"13,590",晴,51,45,8.5%,9,11.1%,35.0%,11.11,8.04,87.87,17.06,小野瀬,宮本　恒靖
25,26,9.14,鳥栖,1-0,H,パナスタ,"23,287",晴,42,45,10.6%,13,7.7%,56.4%,17.12,14.67,86.89,15.28,渡邉,宮本　恒靖
26,27,9.28,Ｃ大阪,1-3,A,ヤンマー,"36,990",曇のち晴,66,52,16.8%,19,0.0%,56.8%,22.09,19.96,84.14,6.31,OG,宮本　恒靖
27,28,10.4,札幌,5-0,H,パナスタ,"20,554",曇,55,49,19.6%,21,23.8%,49.5%,21.30,16.15,84.80,20.67,"倉田,宇佐美,アデミウソン,藤春,渡邉",宮本　恒靖
28,29,10.19,川崎Ｆ,2-2,H,パナスタ,"25,748",曇一時雨,44,47,16.5%,15,13.3%,42.0%,16.01,13.53,101.96,16.40,"渡邉,倉田",宮本　恒靖
29,30,11.3,湘南,3-0,A,ＢＭＷス,"13,570",曇,56,49,17.5%,18,16.7%,50.9%,20.26,17.40,74.63,14.51,"小野瀬,宇佐美x2",宮本　恒靖
30,31,11.10,大分,1-2,A,昭和電ド,"17,022",晴,47,61,17.9%,17,5.9%,56.7%,20.53,17.32,80.17,8.60,宇佐美,宮本　恒靖
31,32,11.23,仙台,2-0,H,パナスタ,"26,256",晴,68,53,18.2%,20,10.0%,62.4%,33.91,25.86,92.97,11.61,"宇佐美,アデミウソン",宮本　恒靖
32,33,11.30,松本,4-1,H,パナスタ,"25,635",晴,52,35,19.5%,23,17.4%,61.4%,26.87,21.91,94.87,16.94,"小野瀬,井手口x2,アデミウソン",宮本　恒靖
33,34,12.7,浦和,3-2,A,埼玉,"47,188",曇,52,49,16.5%,18,16.7%,52.8%,18.61,15.12,88.67,13.34,"宇佐美,アデミウソン,福田",宮本　恒靖
