,team,season,Opponent,result,home score,away score,AGI,KAGI,Chance create,Total shots,Acc. Shots,Ball possession,Offence CBP,Pass CBP,Capture P,Defence P,Shots on target,Shots by PK,Passes,Acc. passes,Crosses,Acc. Crosses,Direct FK,Indirect FK,CK,throw-ins,Acc. throw-ins,Dribbles,Acc. Dribbles,Tackles,Acc. Tackles,Clearances,Interceptions,Offsides,Yellow cards,Red cards,Entries of 30m line,Entries of Penalty area,Total running distance,Sprints,Attack times
0,fctk,2015,Ｇ大阪,1,2,2,54,62,6.4,9,22.2,55.1,16.98,14.06,103.64,10.77,4,0,551,74.0,23,21.7,19,1,3,35,100.0,12,41.7,26,76.9,25,3,1,3,0,53,11,"115,975",168,141
1,fctk,2015,横浜FM,1,0,0,60,49,2.8,4,0.0,53.9,14.83,12.80,134.39,16.31,0,0,546,73.1,30,3.3,12,1,11,27,85.2,18,27.8,41,68.3,23,9,1,0,0,44,14,"115,946",156,145
2,fctk,2015,神戸,0,2,0,43,43,6.8,9,22.2,37.4,7.99,6.69,113.42,21.19,3,0,321,64.2,6,0.0,11,1,5,20,80.0,12,41.7,27,88.9,43,0,6,0,0,30,10,"120,054",163,133
3,fctk,2015,甲府,0,1,0,54,60,9.8,14,7.1,48.8,12.27,8.49,112.87,14.95,2,1,391,68.8,14,21.4,19,1,7,26,84.6,16,56.3,34,76.5,22,3,2,1,0,42,9,"114,417",159,143
4,fctk,2015,湘南,0,1,0,51,45,9.0,13,7.7,53.7,13.48,9.66,95.36,16.19,3,0,408,66.2,16,37.5,17,3,4,29,82.8,11,45.5,26,73.1,23,2,2,3,0,32,15,"109,676",167,145
5,fctk,2015,広島,2,1,2,45,57,8.4,10,10.0,47.5,15.80,13.04,80.12,14.10,1,0,487,79.3,20,15.0,13,6,3,11,100.0,15,40.0,21,76.2,17,4,1,0,0,54,10,"118,043",170,119
6,fctk,2015,山形,0,1,0,53,42,7.4,11,9.1,52.1,11.03,8.11,101.15,19.44,2,0,353,65.4,13,23.1,18,1,5,23,65.2,9,44.4,19,78.9,37,3,3,2,0,35,10,"110,741",203,148
7,fctk,2015,新潟,0,1,0,51,42,6.6,8,12.5,49.3,12.49,10.99,81.17,18.51,2,0,439,72.0,12,16.7,11,3,2,17,100.0,5,40.0,16,81.3,36,2,0,3,0,39,11,"111,255",133,122
8,fctk,2015,川崎Ｆ,0,2,1,55,45,11.8,14,14.3,40.7,11.82,8.66,89.62,10.84,5,0,343,70.0,14,28.6,14,2,5,23,95.7,8,62.5,33,66.7,22,2,4,4,0,28,15,"108,963",142,119
9,fctk,2015,仙台,0,3,2,48,44,9.5,12,25.0,49.9,9.32,6.44,64.39,15.26,6,1,366,70.5,13,38.5,18,9,6,23,78.3,9,44.4,20,85.0,41,0,5,3,0,33,14,"114,578",159,126
10,fctk,2015,鹿島,2,0,1,55,43,4.3,6,0.0,50.4,14.08,10.45,99.70,13.93,2,0,469,69.5,28,10.7,8,2,9,38,86.8,20,60.0,38,76.3,29,0,1,4,0,42,14,"117,520",183,140
11,fctk,2015,浦和,2,1,4,57,56,5.7,8,12.5,51.2,15.01,12.63,79.87,12.47,2,0,453,74.2,14,28.6,21,0,8,35,91.4,14,28.6,19,89.5,16,3,2,3,0,45,14,"114,110",163,141
12,fctk,2015,名古屋,2,0,1,55,59,11.7,16,0.0,52.0,13.62,9.72,112.30,12.80,6,0,458,71.4,22,31.8,15,1,9,18,83.3,11,36.4,24,79.2,24,2,2,1,0,42,15,"113,636",162,137
13,fctk,2015,柏,0,2,1,55,55,8.5,11,18.2,38.8,10.07,6.42,78.08,13.32,3,1,295,64.7,18,11.1,14,3,5,46,73.9,13,53.8,19,63.2,28,2,5,1,0,24,10,"105,632",140,130
14,fctk,2015,松本,0,2,1,39,42,6.7,10,20.0,50.9,8.11,6.84,83.03,18.63,4,1,310,65.5,11,18.2,23,3,2,31,77.4,7,42.9,23,87.0,50,0,1,2,0,40,6,"109,938",144,150
15,fctk,2015,鳥栖,0,2,1,38,54,5.7,8,25.0,52.0,10.92,7.48,80.50,15.75,5,1,407,68.1,16,25.0,20,4,0,24,70.8,12,58.3,23,73.9,33,2,1,0,0,35,6,"109,538",121,141
16,fctk,2015,清水,0,3,2,52,58,11.9,15,20.0,45.4,13.54,9.92,70.68,15.17,8,0,378,70.1,19,21.1,16,3,4,32,90.6,14,42.9,18,72.2,28,2,3,0,0,41,18,"113,344",166,126
17,fctk,2015,川崎Ｆ,2,0,2,54,71,7.9,9,0.0,35.9,8.13,6.97,77.56,6.23,2,0,290,70.3,8,0.0,10,5,6,24,70.8,16,31.3,15,53.3,9,3,2,1,0,30,12,"107,223",139,114
18,fctk,2015,新潟,0,3,1,55,57,7.9,10,30.0,41.1,10.34,8.00,80.59,11.92,6,0,315,67.9,15,20.0,21,3,5,22,72.7,16,43.8,19,94.7,19,0,1,4,0,36,12,"109,569",114,127
19,fctk,2015,山形,1,0,0,44,52,12.2,15,0.0,48.9,10.47,7.20,78.83,16.07,4,0,357,67.5,13,30.8,17,2,4,20,65.0,8,50.0,14,85.7,28,2,0,4,0,32,13,"103,975",137,123
20,fctk,2015,鹿島,2,1,2,42,44,6.5,8,12.5,49.7,12.47,10.57,84.97,14.49,5,0,458,76.9,14,14.3,16,3,4,22,81.8,15,46.7,35,74.3,19,5,1,3,0,28,9,"110,134",139,123
21,fctk,2015,仙台,0,3,1,29,49,6.9,8,37.5,48.0,9.52,7.74,61.15,15.82,5,0,465,77.2,8,12.5,11,3,2,21,81.0,6,66.7,19,57.9,29,5,3,1,0,23,7,"111,657",120,116
22,fctk,2015,甲府,0,1,0,53,62,12.5,14,7.1,59.0,18.83,15.17,93.82,12.79,4,0,645,85.9,26,15.4,10,4,5,19,89.5,18,50.0,21,71.4,18,4,0,0,0,70,17,"115,742",141,112
23,fctk,2015,Ｇ大阪,0,2,1,50,46,12.6,14,14.3,40.9,11.23,9.09,95.08,14.23,6,0,376,76.6,10,20.0,16,1,6,12,58.3,6,66.7,23,82.6,27,1,3,2,0,33,12,"110,711",122,111
24,fctk,2015,名古屋,1,0,0,42,51,8.8,11,0.0,53.4,11.43,10.94,81.47,17.35,2,0,452,77.9,17,0.0,14,2,3,19,78.9,17,23.5,12,75.0,14,3,3,2,0,39,8,"107,641",142,125
25,fctk,2015,清水,1,1,1,28,39,7.6,10,10.0,54.1,10.67,8.87,69.01,18.76,4,0,439,75.9,12,8.3,15,4,6,21,81.0,14,50.0,20,85.0,39,3,3,3,0,30,6,"109,239",150,132
26,fctk,2015,神戸,0,3,0,42,47,6.3,8,37.5,40.2,10.42,7.04,92.98,18.42,5,0,320,72.8,13,30.8,23,0,2,18,83.3,6,83.3,26,61.5,42,7,2,2,0,30,10,"112,997",143,126
27,fctk,2015,横浜FM,2,0,1,40,53,3.6,4,0.0,35.9,7.93,7.27,81.90,15.23,1,0,368,72.3,12,8.3,10,1,2,20,90.0,6,16.7,23,65.2,27,6,0,0,0,36,8,"113,468",127,110
28,fctk,2015,松本,0,1,0,53,43,9.9,13,7.7,53.7,9.40,6.16,82.46,17.40,4,0,313,64.5,15,26.7,19,2,6,16,75.0,9,66.7,20,80.0,36,2,4,2,0,28,16,"103,558",123,131
29,fctk,2015,広島,0,1,0,56,54,13.1,14,7.1,41.9,11.01,8.89,89.50,16.27,6,0,370,78.6,14,21.4,7,2,5,18,77.8,7,42.9,18,72.2,35,3,0,2,0,45,11,"111,917",134,107
30,fctk,2015,湘南,2,1,2,55,57,8.8,12,8.3,56.1,16.38,11.76,69.65,11.97,4,0,457,75.3,28,21.4,19,4,11,21,76.2,14,57.1,25,76.0,19,0,2,2,0,44,15,"109,336",166,136
31,fctk,2015,浦和,2,3,4,59,56,11.7,16,18.8,43.6,14.25,10.45,93.84,13.92,7,0,395,72.7,24,16.7,17,3,5,32,81.3,9,66.7,18,66.7,19,2,6,1,0,40,13,"111,071",150,137
32,fctk,2015,柏,0,1,0,51,55,9.7,11,9.1,35.9,8.40,5.50,75.10,19.01,2,1,278,66.2,14,21.4,13,2,4,19,84.2,11,54.5,38,78.9,40,0,5,3,0,23,12,"116,519",152,113
