,team,season,Opponent,result,home score,away score,AGI,KAGI,Chance create,Total shots,Acc. Shots,Ball possession,Offence CBP,Pass CBP,Capture P,Defence P,Shots on target,Shots by PK,Passes,Acc. passes,Crosses,Acc. Crosses,Direct FK,Indirect FK,CK,throw-ins,Acc. throw-ins,Dribbles,Acc. Dribbles,Tackles,Acc. Tackles,Clearances,Interceptions,Offsides,Yellow cards,Red cards,Entries of 30m line,Entries of Penalty area,Total running distance,Sprints,Attack times
0,g-os,2015,FC東京,1,2,2,38,46,9.1,12,16.7,44.9,10.45,8.72,101.18,20.35,5,1,375,72.0,7,14.3,18,2,4,19,78.9,12,25.0,20,55.0,51,2,1,2,0,31,9,"115,007",189,132
1,g-os,2015,鳥栖,2,0,1,44,57,19.0,23,0.0,63.3,20.15,14.76,67.97,11.27,2,0,629,82.5,20,25.0,16,2,4,28,78.6,14,57.1,20,80.0,13,0,1,0,0,35,13,"106,228",145,121
2,g-os,2015,甲府,0,2,0,54,51,10.8,13,15.4,50.8,18.15,14.16,86.13,18.24,3,0,503,80.3,16,31.3,11,0,4,24,75.0,9,55.6,30,80.0,35,3,5,0,0,42,21,"111,800",138,120
3,g-os,2015,名古屋,0,3,1,53,52,13.0,19,15.8,53.1,14.47,12.93,93.49,15.25,9,0,507,77.3,14,21.4,12,1,7,28,71.4,9,33.3,18,66.7,31,3,5,1,0,49,14,"112,337",225,146
4,g-os,2015,清水,0,3,2,54,49,10.0,13,23.1,52.0,14.37,10.72,106.79,19.92,6,0,438,77.4,15,20.0,16,2,9,20,100.0,17,52.9,15,73.3,31,2,2,1,0,57,15,"114,824",236,130
5,g-os,2015,湘南,0,2,0,51,38,8.4,11,18.2,51.6,15.29,14.07,58.14,20.08,5,1,465,73.1,8,0.0,12,1,8,32,84.4,8,37.5,14,35.7,23,4,4,1,0,40,15,"111,454",197,131
6,g-os,2015,新潟,0,2,1,49,51,6.8,9,22.2,51.7,13.28,10.90,65.60,11.17,5,0,463,76.2,9,11.1,19,2,4,22,81.8,16,43.8,27,59.3,18,3,1,1,0,38,10,"109,613",183,132
7,g-os,2015,松本,0,1,0,49,48,12.1,16,6.3,52.8,16.73,12.15,94.77,19.18,8,0,522,70.7,9,33.3,9,0,3,24,58.3,11,72.7,22,72.7,28,1,2,1,0,51,13,"114,228",180,132
8,g-os,2015,浦和,2,0,1,38,43,5.7,7,0.0,41.2,9.95,8.68,100.32,20.27,2,0,385,74.3,8,25.0,13,0,1,16,81.3,5,20.0,22,68.2,24,4,1,1,0,28,6,"108,825",161,122
9,g-os,2015,広島,0,1,0,41,50,6.9,7,14.3,45.8,14.77,11.94,67.29,18.96,4,0,512,80.9,10,20.0,6,2,2,12,91.7,12,58.3,15,60.0,15,1,4,2,0,49,7,"116,153",181,102
