,team,season,Opponent,result,home score,away score,AGI,KAGI,Chance create,Total shots,Acc. Shots,Ball possession,Offence CBP,Pass CBP,Capture P,Defence P,Shots on target,Shots by PK,Passes,Acc. passes,Crosses,Acc. Crosses,Direct FK,Indirect FK,CK,throw-ins,Acc. throw-ins,Dribbles,Acc. Dribbles,Tackles,Acc. Tackles,Clearances,Interceptions,Offsides,Yellow cards,Red cards,Entries of 30m line,Entries of Penalty area,Total running distance,Sprints,Attack times
0,hiro,2015,甲府,0,2,0,44,84,15.7,18,11.1,53.2,16.33,12.66,87.45,9.24,5,0,593,81.1,19,5.3,17,0,9,18,94.4,25,56.0,17,76.5,9,5,2,1,0,41,13,"113,445",130,115
1,hiro,2015,松本,0,2,1,54,53,22.7,25,8.0,68.5,25.05,18.97,61.52,20.53,7,0,736,86.3,29,17.2,12,2,4,19,84.2,28,60.7,14,64.3,19,3,0,1,0,80,20,"110,756",130,110
2,hiro,2015,浦和,1,0,0,42,66,12.3,13,0.0,40.0,10.15,8.30,71.75,16.34,2,0,398,80.7,9,11.1,10,2,3,10,80.0,14,57.1,14,85.7,23,0,1,2,0,33,10,"108,218",154,106
3,hiro,2015,神戸,2,0,1,45,67,12.5,16,0.0,49.6,18.59,13.86,114.14,14.20,6,0,565,78.2,21,23.8,12,1,3,24,83.3,12,75.0,34,76.5,10,5,0,0,0,42,12,"113,599",143,128
4,hiro,2015,名古屋,2,0,2,41,50,12.1,15,0.0,54.9,18.43,15.26,94.71,13.37,3,0,604,85.1,14,21.4,9,3,9,17,88.2,15,60.0,13,76.9,11,4,2,0,0,55,10,"109,556",175,124
5,hiro,2015,FC東京,0,2,1,43,55,13.5,17,11.8,52.5,19.46,11.77,82.62,19.33,5,0,565,81.1,21,38.1,12,1,1,25,92.0,23,69.6,24,75.0,22,7,6,1,0,40,17,"117,844",144,126
6,hiro,2015,清水,0,2,0,50,61,19.3,23,8.7,56.8,21.29,16.47,81.90,14.68,7,0,658,85.7,13,30.8,11,2,5,21,85.7,21,57.1,11,63.6,14,2,2,0,0,52,27,"112,430",134,119
7,hiro,2015,横浜FM,0,2,1,47,67,19.1,21,9.5,49.6,15.02,10.97,100.35,12.00,8,0,554,83.9,19,21.1,9,0,8,13,92.3,22,50.0,21,95.2,21,4,1,0,0,51,12,"116,649",149,110
8,hiro,2015,仙台,0,2,0,52,51,15.0,16,12.5,47.2,12.52,10.46,71.16,11.70,5,0,474,78.7,14,7.1,9,0,5,23,78.3,15,46.7,19,84.2,22,5,1,0,0,47,10,"110,665",109,107
9,hiro,2015,川崎Ｆ,0,1,0,33,21,6.7,7,14.3,37.6,9.15,7.21,77.14,20.42,4,0,424,80.7,8,12.5,10,1,4,6,100.0,12,58.3,39,59.0,32,4,2,1,0,19,9,"109,379",105,105
10,hiro,2015,Ｇ大阪,2,0,1,50,59,17.9,20,0.0,54.2,19.29,14.51,73.53,12.13,6,0,604,82.3,24,16.7,9,3,7,17,94.1,22,68.2,26,57.7,8,4,2,1,0,59,17,"115,011",137,112
11,hiro,2015,鹿島,1,2,2,36,44,9.0,11,18.2,47.3,10.79,8.38,87.21,14.65,3,0,438,80.4,13,7.7,13,3,3,19,84.2,25,36.0,23,73.9,14,5,1,4,0,30,7,"111,330",140,122
12,hiro,2015,新潟,0,4,2,54,61,13.0,16,25.0,53.0,17.89,14.23,77.80,13.09,5,0,562,80.4,20,25.0,8,1,7,34,97.1,17,41.2,14,78.6,16,2,0,1,0,45,23,"116,682",177,123
13,hiro,2015,湘南,1,0,0,48,38,13.9,16,0.0,54.6,14.58,9.93,63.70,14.65,3,0,535,79.1,18,27.8,13,1,7,10,100.0,16,68.8,15,86.7,19,2,4,2,0,36,15,"111,176",133,115
14,hiro,2015,柏,0,3,2,47,46,8.9,10,20.0,41.5,13.71,9.61,88.34,18.44,5,0,397,75.8,15,20.0,15,1,4,11,100.0,22,63.6,22,68.2,27,5,10,0,0,39,12,"112,484",119,112
15,hiro,2015,山形,0,5,1,45,42,21.8,27,18.5,51.6,15.41,10.77,100.58,17.19,11,0,517,79.1,15,40.0,8,1,7,17,88.2,17,47.1,18,72.2,21,5,6,0,0,37,13,"111,975",141,124
