,team,season,Opponent,result,home score,away score,AGI,KAGI,Chance create,Total shots,Acc. Shots,Ball possession,Offence CBP,Pass CBP,Capture P,Defence P,Shots on target,Shots by PK,Passes,Acc. passes,Crosses,Acc. Crosses,Direct FK,Indirect FK,CK,throw-ins,Acc. throw-ins,Dribbles,Acc. Dribbles,Tackles,Acc. Tackles,Clearances,Interceptions,Offsides,Yellow cards,Red cards,Entries of 30m line,Entries of Penalty area,Total running distance,Sprints,Attack times
0,ka-f,2015,横浜FM,0,3,1,61,58,17.2,21,14.3,50.3,23.15,19.68,90.74,15.23,8,0,590,82.4,7,42.9,11,2,9,16,100.0,20,35.0,22,81.8,28,3,0,2,0,57,22,116341,136,122
1,ka-f,2015,神戸,1,2,2,64,49,20.6,28,7.1,59.5,32.67,24.92,101.75,14.59,10,0,750,85.1,25,28.0,18,2,7,27,92.6,30,40.0,18,77.8,8,8,2,0,0,70,30,110400,173,136
2,ka-f,2015,山形,2,0,1,50,44,8.7,13,0.0,55.0,18.30,15.63,106.53,19.62,1,0,589,78.6,5,20.0,7,3,5,37,97.3,16,37.5,20,55.0,25,2,1,0,0,48,12,110400,175,150
3,ka-f,2015,新潟,0,4,1,44,34,4.8,6,66.7,54.5,15.74,12.98,81.37,22.40,4,0,555,83.1,6,16.7,14,4,3,21,85.7,20,40.0,25,76.0,31,5,2,3,0,40,10,114599,152,125
4,ka-f,2015,浦和,1,1,1,37,52,7.1,8,12.5,52.3,14.74,12.51,82.41,14.31,2,0,563,86.3,8,37.5,16,4,3,15,86.7,8,37.5,26,73.1,27,0,1,1,0,32,9,111634,139,113
5,ka-f,2015,仙台,0,3,2,60,43,19.5,24,12.5,63.6,30.95,27.08,102.53,16.60,10,0,807,84.5,22,9.1,4,2,7,16,93.8,12,83.3,26,96.2,28,4,4,1,0,61,28,111634,133,123
6,ka-f,2015,甲府,0,3,0,61,61,20.8,21,14.3,64.2,35.30,31.22,83.82,9.08,8,0,930,91.6,8,25.0,8,2,2,16,87.5,16,50.0,18,77.8,9,4,0,0,0,98,14,113761,143,101
7,ka-f,2015,柏,2,1,4,57,58,9.0,11,9.1,56.1,21.38,18.35,105.15,8.65,6,0,738,86.2,13,15.4,9,3,8,18,100.0,20,40.0,25,84.0,8,2,4,2,0,55,20,107299,136,122
8,ka-f,2015,FC東京,2,1,2,55,45,13.8,17,5.9,59.3,22.39,19.40,77.40,16.15,3,0,603,87.6,4,50.0,16,4,2,21,81.0,19,31.6,26,84.6,32,2,1,3,1,45,16,107299,146,123
9,ka-f,2015,広島,2,0,1,79,67,20.0,22,0.0,62.4,47.09,44.05,91.85,9.23,6,0,948,91.8,9,22.2,11,2,6,18,100.0,14,35.7,16,100.0,18,2,0,0,0,129,34,109427,120,110
10,ka-f,2015,名古屋,0,1,0,43,49,15.6,20,5.0,50.2,16.73,14.59,100.53,19.44,5,0,609,84.2,5,20.0,13,3,3,15,80.0,11,36.4,24,75.0,17,2,2,2,0,36,14,109427,156,128
11,ka-f,2015,Ｇ大阪,1,1,1,59,31,15.2,17,5.9,58.5,25.23,22.80,61.18,21.16,5,0,686,89.4,3,0.0,8,2,5,15,93.3,17,47.1,19,84.2,40,2,1,1,0,76,17,109427,167,112
12,ka-f,2015,鳥栖,0,3,2,48,43,12.5,17,17.6,53.3,14.93,11.33,66.79,16.75,6,0,515,78.8,11,27.3,18,2,6,22,95.5,19,42.1,17,52.9,25,2,3,2,0,38,16,110286,116,136
13,ka-f,2015,清水,2,2,5,37,54,9.2,12,16.7,57.5,15.66,13.77,94.14,9.38,6,0,699,84.0,9,11.1,10,2,3,30,86.7,8,62.5,13,84.6,12,2,4,1,0,33,11,110286,147,130
14,ka-f,2015,湘南,0,2,1,37,39,12.4,15,13.3,64.5,22.61,21.00,61.46,12.91,4,1,831,86.9,11,9.1,10,3,4,27,100.0,12,25.0,16,75.0,11,5,3,2,0,50,10,113656,137,121
15,ka-f,2015,松本,0,2,0,68,50,16.4,19,10.5,75.4,34.75,30.12,83.68,9.01,6,1,850,88.8,23,13.0,19,1,13,15,100.0,26,46.2,19,89.5,13,6,2,0,0,93,17,108601,116,116
16,ka-f,2015,鹿島,0,3,2,28,39,9.4,11,27.3,51.1,14.12,10.62,81.68,12.52,5,0,577,84.2,9,33.3,11,2,2,25,84.0,13,61.5,35,80.0,25,1,1,4,0,26,7,108601,129,117
17,ka-f,2015,FC東京,0,2,0,29,46,13.8,16,12.5,64.1,18.05,14.56,73.11,13.14,7,0,662,86.9,7,42.9,20,2,4,13,92.3,14,64.3,22,72.7,28,4,5,1,0,32,7,107940,140,116
18,ka-f,2015,鳥栖,1,1,1,45,46,9.5,9,11.1,57.1,21.55,17.51,50.51,13.30,2,0,629,88.4,10,20.0,11,4,1,9,100.0,12,58.3,12,66.7,24,2,1,1,0,40,11,107940,144,95
19,ka-f,2015,柏,2,0,1,53,52,17.6,19,0.0,57.9,23.30,19.88,52.90,6.43,8,0,687,87.2,14,28.6,15,4,9,22,95.5,9,77.8,13,69.2,11,2,3,1,0,61,16,107940,119,108
20,ka-f,2015,清水,0,3,2,54,55,15.5,20,15.0,67.9,24.99,19.82,61.85,8.67,8,0,718,86.9,20,30.0,17,3,9,24,91.7,16,56.3,17,64.7,15,2,9,1,0,60,22,105722,129,129
21,ka-f,2015,松本,0,3,1,65,33,16.2,19,15.8,61.4,30.20,25.31,65.62,17.52,5,0,596,85.9,11,18.2,12,2,2,20,100.0,17,58.8,18,83.3,35,4,1,1,0,66,23,105722,145,117
22,ka-f,2015,山形,1,0,0,45,49,6.7,8,0.0,60.4,22.03,18.79,87.26,16.90,3,0,681,85.3,11,18.2,13,4,4,20,95.0,15,53.3,9,77.8,33,3,2,0,0,49,9,102736,124,120
23,ka-f,2015,神戸,2,0,2,44,48,11.6,17,0.0,54.9,15.94,12.91,117.22,15.93,3,0,499,76.0,9,22.2,17,2,5,19,89.5,10,60.0,31,87.1,23,2,2,1,0,46,12,102736,149,147
24,ka-f,2015,湘南,2,1,2,48,54,10.9,14,7.1,59.5,21.70,17.56,63.47,15.65,7,0,643,84.3,11,18.2,19,2,3,19,100.0,14,71.4,14,71.4,23,2,3,2,0,49,15,102736,140,129
25,ka-f,2015,鹿島,2,1,3,46,47,7.0,9,11.1,54.5,18.35,15.75,76.93,11.44,4,0,624,80.4,11,9.1,14,4,2,30,100.0,17,52.9,19,84.2,18,1,5,1,0,48,11,112131,135,129
26,ka-f,2015,甲府,0,3,1,49,45,8.6,10,30.0,55.7,22.99,19.07,61.83,16.43,5,0,624,84.5,14,28.6,10,1,5,19,84.2,12,50.0,12,66.7,22,0,2,1,0,53,11,112131,117,116
27,ka-f,2015,名古屋,0,6,1,58,57,17.2,20,30.0,57.1,24.51,19.39,92.32,13.53,10,0,571,86.0,17,23.5,8,2,8,24,87.5,16,56.3,22,86.4,18,4,4,1,0,59,18,109310,140,116
28,ka-f,2015,新潟,0,2,1,54,52,8.7,11,18.2,55.9,20.02,15.82,79.75,13.43,2,0,535,80.9,9,44.4,19,1,7,19,94.7,17,47.1,14,64.3,26,3,0,1,0,45,23,109310,157,126
29,ka-f,2015,Ｇ大阪,0,5,3,55,54,22.0,24,20.8,49.4,23.15,16.69,76.80,14.29,11,1,588,86.6,14,50.0,15,1,3,12,91.7,15,53.3,22,72.7,19,4,2,0,0,55,18,114647,144,109
30,ka-f,2015,広島,2,1,2,63,53,15.8,18,5.6,54.6,24.04,21.63,98.85,15.51,6,0,658,86.3,13,15.4,10,2,7,10,100.0,12,50.0,19,89.5,22,3,0,0,0,73,21,114647,157,114
31,ka-f,2015,横浜FM,2,0,1,68,54,19.6,21,0.0,55.5,33.08,26.33,94.94,12.80,5,0,671,85.4,17,29.4,9,4,5,9,100.0,22,59.1,29,65.5,20,1,2,3,1,84,30,114725,140,107
32,ka-f,2015,浦和,1,1,1,56,46,9.5,11,9.1,39.2,18.24,15.57,75.83,22.29,3,0,419,78.5,10,30.0,15,1,4,16,81.3,7,57.1,24,79.2,34,4,5,1,0,44,17,114725,179,116
33,ka-f,2015,仙台,0,1,0,54,63,11.3,14,7.1,58.0,24.95,20.77,79.76,17.74,6,0,739,85.4,21,19.0,13,1,8,19,100.0,16,50.0,17,76.5,25,3,6,1,0,53,23,113053,147,124
34,ka-f,2016,広島,0,1,0,56,52,17.9,17,5.9,47.1,26.21,22.25,75.25,18.85,6,0,654,87.5,11,27.3,5,2,3,12,91.7,10,70.0,17,70.6,23,5,0,0,0,55,14,113053,131,95
35,ka-f,2016,湘南,1,4,4,61,51,14.4,21,19.0,63.7,27.29,20.68,96.73,12.35,8,0,722,83.2,26,26.9,9,2,8,30,86.7,21,47.6,20,55.0,11,4,2,2,0,69,29,116428,142,146
36,ka-f,2016,名古屋,0,3,2,56,50,7.9,10,30.0,64.3,29.32,26.87,108.77,16.59,4,0,823,86.1,19,15.8,7,3,5,17,100.0,12,25.0,15,73.3,25,3,2,0,0,62,27,117881,184,127
37,ka-f,2016,甲府,0,4,0,32,48,10.2,13,30.8,61.7,19.02,16.08,83.21,17.51,6,0,709,86.9,9,33.3,15,3,3,22,90.9,9,77.8,18,83.3,19,1,2,1,0,31,9,117881,135,127
