,team,season,Opponent,result,home score,away score,AGI,KAGI,Chance create,Total shots,Acc. Shots,Ball possession,Offence CBP,Pass CBP,Capture P,Defence P,Shots on target,Shots by PK,Passes,Acc. passes,Crosses,Acc. Crosses,Direct FK,Indirect FK,CK,throw-ins,Acc. throw-ins,Dribbles,Acc. Dribbles,Tackles,Acc. Tackles,Clearances,Interceptions,Offsides,Yellow cards,Red cards,Entries of 30m line,Entries of Penalty area,Total running distance,Sprints,Attack times
0,kasm,2015,清水,2,1,3,53,48,12.6,17,5.9,53.8,13.87,9.68,87.63,14.48,6,0,386,69.2,17,35.3,16,3,3,23,78.3,12,58.3,11,81.8,16,3,0,2,0,34,14,118624,147,135
1,kasm,2015,湘南,2,1,2,55,42,14.9,20,5.0,55.1,17.84,13.14,98.14,15.09,5,0,516,76.9,24,33.3,17,2,4,21,100.0,10,40.0,25,76.0,26,3,5,1,0,44,21,123021,162,134
2,kasm,2015,名古屋,1,1,1,54,43,12.1,16,6.3,50.5,14.49,9.77,85.56,14.91,3,0,425,72.7,18,33.3,11,3,5,27,74.1,8,50.0,15,86.7,27,3,3,4,0,40,14,123021,174,132
3,kasm,2015,鳥栖,0,3,1,46,61,15.0,20,15.0,63.7,12.66,9.37,49.25,9.64,7,1,442,74.9,14,21.4,22,5,7,34,97.1,17,35.3,15,86.7,16,2,0,2,0,53,8,111418,141,133
4,kasm,2015,新潟,1,1,1,44,53,5.3,8,12.5,52.6,12.94,10.92,120.23,17.26,4,0,513,72.7,15,20.0,10,1,7,34,97.1,14,28.6,26,84.6,32,4,2,3,0,43,11,116640,197,151
5,kasm,2015,柏,0,3,1,57,51,15.5,17,17.6,37.3,10.52,8.07,68.06,16.50,10,0,295,72.2,12,16.7,9,6,8,19,84.2,13,61.5,20,75.0,40,2,1,2,0,35,12,116640,164,110
6,kasm,2015,神戸,2,1,2,47,49,11.9,17,5.9,57.7,18.18,14.36,89.16,13.47,2,0,547,79.5,16,31.3,19,1,5,28,92.9,14,28.6,25,92.0,13,2,1,4,1,45,11,113261,150,143
7,kasm,2015,仙台,0,2,1,48,47,11.6,15,13.3,51.6,15.51,11.65,94.10,17.25,6,0,435,71.5,13,30.8,14,8,4,18,72.2,10,90.0,12,91.7,32,4,2,1,0,37,14,113261,138,129
8,kasm,2015,甲府,2,0,1,48,52,11.4,14,0.0,55.7,18.72,15.62,76.66,11.91,6,0,565,78.4,9,33.3,13,5,5,22,95.5,12,50.0,18,77.8,18,1,1,2,0,58,14,112304,124,123
9,kasm,2015,FC東京,0,1,0,57,45,12.1,17,5.9,49.6,14.95,13.05,100.01,23.70,8,0,437,73.7,10,30.0,13,2,3,32,87.5,9,33.3,25,68.0,33,3,2,0,0,48,13,112304,151,140
10,kasm,2015,広島,1,2,2,56,64,12.9,16,12.5,52.7,21.56,17.80,81.07,15.22,6,1,561,81.8,17,17.6,10,1,3,20,95.0,15,60.0,27,70.4,23,5,1,3,0,57,17,111596,151,124
11,kasm,2015,浦和,2,1,2,41,52,13.8,16,0.0,46.0,13.69,9.90,78.85,13.13,5,0,391,73.9,10,40.0,13,2,1,19,78.9,13,46.2,19,84.2,18,6,0,0,0,32,9,111596,173,116
12,kasm,2015,松本,0,3,1,55,52,16.7,20,15.0,61.9,18.68,15.36,72.32,15.05,9,0,508,77.8,15,26.7,12,2,7,24,83.3,11,36.4,10,80.0,27,0,0,3,0,45,17,107832,146,120
13,kasm,2015,Ｇ大阪,2,0,2,60,45,7.4,10,0.0,55.1,16.38,14.09,108.25,14.03,1,0,521,76.6,20,10.0,18,2,4,20,90.0,14,50.0,20,90.0,22,0,3,1,0,63,18,107832,145,135
