,team,season,Opponent,result,home score,away score,AGI,KAGI,Chance create,Total shots,Acc. Shots,Ball possession,Offence CBP,Pass CBP,Capture P,Defence P,Shots on target,Shots by PK,Passes,Acc. passes,Crosses,Acc. Crosses,Direct FK,Indirect FK,CK,throw-ins,Acc. throw-ins,Dribbles,Acc. Dribbles,Tackles,Acc. Tackles,Clearances,Interceptions,Offsides,Yellow cards,Red cards,Entries of 30m line,Entries of Penalty area,Total running distance,Sprints,Attack times
0,kobe,2015,柏,2,0,1,49,50,7.8,11,0.0,45.5,9.91,7.17,132.13,19.44,3,0,346,61.8,13,15.4,16,1,6,25,76.0,15,53.3,42,73.8,30,4,12,2,0,37,9,109724,166,141
1,kobe,2015,川崎Ｆ,1,2,2,51,36,9.9,11,18.2,40.5,14.27,8.90,101.14,27.85,8,0,365,72.3,16,37.5,3,2,2,11,63.6,19,52.6,31,71.0,38,7,2,2,0,33,16,109724,182,111
2,kobe,2015,FC東京,2,0,2,57,57,11.1,16,0.0,62.6,22.30,15.34,104.48,13.22,4,1,599,77.3,28,32.1,8,6,9,34,88.2,20,45.0,24,83.3,16,3,0,2,0,61,24,119284,195,144
3,kobe,2015,広島,0,1,0,33,55,9.4,12,8.3,50.4,13.94,11.94,102.89,17.46,2,0,515,78.8,11,9.1,9,0,3,24,95.8,15,46.7,20,50.0,25,3,1,0,0,44,6,119284,162,128
4,kobe,2015,甲府,0,4,1,44,50,16.3,22,18.2,55.2,15.51,11.75,137.43,17.69,11,0,598,79.9,15,33.3,14,1,4,17,94.1,12,41.7,28,82.1,21,4,2,0,0,33,15,112964,167,135
5,kobe,2015,新潟,1,2,2,51,50,8.0,11,9.1,50.2,17.42,13.48,118.27,17.26,4,0,453,76.6,12,25.0,10,0,5,26,84.6,20,55.0,28,78.6,31,6,2,2,0,39,20,112964,199,138
6,kobe,2015,鹿島,0,2,1,51,53,9.3,12,16.7,42.3,9.75,7.11,75.83,15.43,6,0,318,71.1,13,30.8,21,1,5,17,88.2,17,29.4,19,94.7,37,2,1,2,0,28,15,112964,157,129
7,kobe,2015,名古屋,2,0,1,56,40,10.1,14,0.0,54.2,15.92,12.13,88.92,17.09,2,0,453,70.6,20,20.0,10,3,8,37,78.4,14,57.1,20,80.0,23,4,5,1,0,44,12,105334,134,139
8,kobe,2015,鳥栖,1,1,1,48,47,12.9,15,6.7,63.9,14.30,13.35,73.38,14.26,2,0,605,81.2,17,5.9,6,2,5,24,87.5,11,45.5,19,78.9,17,0,2,0,0,50,15,105334,130,116
9,kobe,2015,湘南,1,1,1,43,40,8.3,11,9.1,55.1,13.27,10.96,87.33,13.45,3,0,437,75.3,10,20.0,14,1,5,25,92.0,12,41.7,25,56.0,37,1,3,3,0,42,7,105334,158,132
