,team,season,Opponent,result,home score,away score,AGI,KAGI,Chance create,Total shots,Acc. Shots,Ball possession,Offence CBP,Pass CBP,Capture P,Defence P,Shots on target,Shots by PK,Passes,Acc. passes,Crosses,Acc. Crosses,Direct FK,Indirect FK,CK,throw-ins,Acc. throw-ins,Dribbles,Acc. Dribbles,Tackles,Acc. Tackles,Clearances,Interceptions,Offsides,Yellow cards,Red cards,Entries of 30m line,Entries of Penalty area,Total running distance,Sprints,Attack times
0,send,2015,山形,0,2,0,41,61,7.8,10,20.0,48.1,10.60,8.30,117.25,19.80,2,0,377,63.7,9,22.2,17,3,4,22,90.9,11,27.3,18,61.1,31,3,3,2,1,38,8,110555,180,129
1,send,2015,柏,1,1,1,47,51,6.0,7,14.3,29.5,6.43,4.46,88.80,16.58,3,0,237,57.8,11,27.3,13,1,5,17,76.5,9,44.4,21,76.2,30,7,7,3,1,23,8,110555,121,117
2,send,2015,湘南,1,0,0,51,42,9.0,12,0.0,46.9,8.76,6.99,71.23,17.02,2,0,346,66.2,15,13.3,12,4,5,24,75.0,6,66.7,19,68.4,30,2,2,1,0,32,12,110555,156,133
3,send,2015,清水,0,2,1,60,38,8.3,12,16.7,53.8,11.84,10.27,110.23,18.18,3,0,389,67.6,14,14.3,22,1,6,30,76.7,10,30.0,16,100.0,26,3,2,1,0,42,15,112530,150,144
4,send,2015,横浜FM,1,1,1,55,47,7.5,10,10.0,45.9,10.33,8.62,116.90,15.20,1,0,389,69.2,10,20.0,18,1,5,13,76.9,11,54.5,23,78.3,29,4,1,2,0,40,13,112530,103,133
5,send,2015,川崎Ｆ,2,2,3,57,40,15.9,22,9.1,36.4,12.85,8.82,94.46,21.31,8,0,294,59.9,15,40.0,8,4,5,30,90.0,10,40.0,19,63.2,22,4,2,1,0,41,19,115877,159,138
6,send,2015,松本,2,0,1,57,49,9.4,13,0.0,55.1,15.22,11.87,77.89,16.86,2,0,434,63.6,20,15.0,14,5,6,30,76.7,9,77.8,15,46.7,24,1,3,1,0,39,14,115877,127,139
7,send,2015,鹿島,2,1,2,53,52,10.9,15,6.7,48.4,12.09,8.20,71.62,12.06,4,0,410,66.6,21,28.6,16,3,6,31,93.5,10,40.0,13,61.5,13,3,8,2,0,43,13,116109,170,138
8,send,2015,広島,2,0,2,49,48,8.3,9,0.0,52.8,16.48,14.30,52.40,12.70,1,0,562,84.0,13,30.8,10,1,5,23,82.6,5,20.0,19,68.4,18,2,0,2,0,45,12,116109,122,108
9,send,2015,FC東京,2,2,3,56,52,11.0,14,14.3,50.1,15.71,12.45,60.87,9.99,4,1,382,69.9,16,25.0,11,5,4,34,67.6,10,50.0,20,80.0,26,0,8,1,0,40,18,114259,158,127
10,send,2015,浦和,1,4,4,49,43,13.4,15,26.7,33.8,10.91,6.64,87.60,24.41,6,0,247,55.5,11,45.5,14,1,2,8,62.5,9,66.7,22,77.3,50,4,1,0,0,30,10,116635,157,112
11,send,2015,新潟,0,3,0,62,47,17.0,23,13.0,49.7,15.12,11.53,76.69,18.56,7,0,365,65.5,12,33.3,19,0,4,20,85.0,9,66.7,21,66.7,30,2,3,3,0,47,22,116635,182,135
12,send,2015,甲府,2,0,1,50,65,6.9,9,0.0,57.3,17.52,14.18,100.73,12.88,1,0,578,78.5,20,25.0,10,2,2,30,80.0,18,27.8,28,71.4,21,2,1,2,0,56,16,119722,125,131
13,send,2015,神戸,0,1,0,43,46,9.7,12,8.3,36.4,6.11,5.17,81.86,23.90,3,0,256,62.9,8,12.5,18,3,3,18,83.3,10,20.0,36,77.8,59,2,6,0,0,30,10,119722,183,124
14,send,2015,鳥栖,0,5,0,59,63,9.5,15,33.3,47.6,12.50,9.09,117.10,18.94,8,0,376,62.8,16,25.0,8,4,4,31,67.7,20,30.0,25,80.0,32,1,2,2,0,38,17,115721,164,158
15,send,2015,Ｇ大阪,1,1,1,61,54,16.5,22,4.5,47.6,18.11,14.68,89.12,14.70,6,0,433,73.2,14,35.7,11,4,3,28,78.6,14,35.7,15,93.3,24,2,1,1,0,53,15,115721,170,133
16,send,2015,名古屋,0,2,0,62,57,19.4,27,7.4,52.6,21.00,14.55,75.89,17.85,14,0,473,76.7,18,44.4,12,3,9,23,69.6,11,72.7,11,72.7,30,0,2,1,0,61,31,120970,189,139
17,send,2015,広島,2,3,4,62,61,17.5,20,15.0,56.8,24.28,18.13,67.93,11.90,10,1,586,82.4,24,37.5,12,2,5,28,89.3,17,64.7,14,64.3,15,1,1,0,0,66,27,119745,178,114
18,send,2015,甲府,1,0,0,25,57,5.5,7,0.0,51.5,9.67,9.09,90.68,16.68,1,0,483,74.9,6,16.7,10,2,1,26,65.4,4,25.0,13,84.6,25,1,1,0,0,28,5,119745,135,127
19,send,2015,神戸,2,1,2,57,54,10.3,13,7.7,40.8,10.13,7.06,68.07,16.73,3,0,328,64.0,14,21.4,10,2,7,32,81.3,10,40.0,20,70.0,20,6,2,0,0,37,14,115608,145,126
20,send,2015,柏,2,0,1,60,60,11.4,15,0.0,41.6,8.87,6.54,82.81,13.18,1,0,300,63.7,23,13.0,13,5,11,28,64.3,8,25.0,13,92.3,24,0,3,0,0,43,10,109056,116,132
21,send,2015,FC東京,2,1,3,51,71,10.3,13,7.7,52.0,15.40,12.63,63.54,11.24,1,0,496,77.0,13,15.4,12,3,2,31,77.4,11,45.5,15,66.7,21,4,3,0,0,50,12,109056,130,126
22,send,2015,松本,0,3,1,53,43,8.3,11,27.3,59.2,11.89,8.96,78.69,16.06,3,0,374,65.8,17,17.6,12,0,2,35,68.6,10,50.0,14,85.7,42,3,0,2,0,38,11,107560,140,133
23,send,2015,鹿島,2,2,3,44,35,4.9,6,33.3,32.5,7.19,5.87,61.48,17.69,3,0,226,54.4,2,50.0,15,7,2,18,50.0,6,50.0,21,71.4,30,2,2,0,0,18,10,107560,151,123
24,send,2015,浦和,2,1,3,44,63,9.3,10,10.0,38.8,10.40,7.66,61.48,13.05,3,0,309,68.3,14,35.7,14,2,4,18,83.3,5,40.0,8,100.0,14,1,1,2,0,30,12,107560,131,107
25,send,2015,新潟,2,0,1,51,43,10.9,15,0.0,45.0,10.30,7.22,89.25,18.43,4,0,297,63.3,13,38.5,14,4,3,20,95.0,8,37.5,24,83.3,38,0,0,1,1,35,13,111292,170,137
26,send,2015,名古屋,0,1,0,56,54,14.3,16,6.3,44.6,10.29,8.45,80.43,13.56,8,0,306,71.2,11,9.1,7,4,7,15,80.0,18,22.2,25,80.0,19,2,1,4,0,43,8,111292,161,112
27,send,2015,湘南,1,1,1,47,45,7.5,10,10.0,49.0,7.58,5.97,79.77,16.67,4,1,306,58.2,11,9.1,17,2,7,29,86.2,10,50.0,22,68.2,27,1,2,2,0,28,11,110215,174,133
28,send,2015,山形,1,1,1,50,44,11.3,15,6.7,48.7,10.36,7.93,86.81,17.57,5,0,321,64.5,7,28.6,15,4,4,21,90.5,16,50.0,14,71.4,27,3,4,1,0,35,16,110215,161,133
29,send,2015,横浜FM,2,1,3,50,61,13.0,15,6.7,45.5,13.79,9.81,102.03,10.90,3,0,392,75.3,16,31.3,7,1,3,16,87.5,12,58.3,19,84.2,25,3,3,2,0,42,12,110569,138,115
30,send,2015,清水,0,1,0,49,47,7.2,11,9.1,47.2,7.39,6.82,98.04,20.82,5,0,273,59.3,6,16.7,14,5,6,24,58.3,5,0.0,23,78.3,47,0,1,2,0,27,14,110569,163,153
31,send,2015,Ｇ大阪,2,1,3,44,49,7.8,10,10.0,44.8,14.52,12.70,91.75,15.44,3,0,457,73.1,9,11.1,6,6,6,21,71.4,9,44.4,17,82.4,15,0,1,0,0,44,7,119260,181,128
32,send,2015,鳥栖,2,0,1,55,44,18.4,21,0.0,58.1,19.84,14.19,63.36,9.34,4,0,532,83.5,14,57.1,19,3,5,21,90.5,12,66.7,24,70.8,16,1,0,1,0,50,19,119260,142,114
33,send,2015,川崎Ｆ,2,0,1,37,46,4.3,5,0.0,42.0,10.97,9.36,82.65,20.68,1,0,400,72.8,13,0.0,11,6,1,18,83.3,14,50.0,27,63.0,20,5,0,1,0,40,7,119260,154,116
34,send,2016,横浜FM,0,1,0,37,50,4.6,7,14.3,44.5,8.56,7.53,106.52,20.75,1,0,442,70.6,13,7.7,10,4,2,29,75.9,7,42.9,17,82.4,39,3,4,1,0,33,7,119260,161,153
35,send,2016,FC東京,2,1,2,42,37,7.3,10,10.0,57.0,12.72,10.11,62.97,18.81,3,0,498,73.7,18,22.2,11,3,6,39,89.7,10,20.0,29,69.0,25,0,1,2,0,33,10,116834,138,137
36,send,2016,鹿島,0,1,0,56,32,7.0,11,9.1,43.5,7.96,6.74,128.28,23.27,3,0,347,56.2,12,16.7,13,5,6,35,80.0,7,28.6,28,78.6,36,1,1,2,0,32,11,117349,181,158
37,send,2016,名古屋,2,1,2,48,42,6.1,8,12.5,46.2,10.60,7.10,99.16,18.93,4,0,362,66.6,15,26.7,12,4,2,27,81.5,13,53.8,30,60.0,35,0,1,3,0,32,9,117349,154,132
38,send,2016,広島,2,0,3,51,51,10.8,12,0.0,49.7,19.12,16.68,94.56,14.46,5,0,623,85.6,12,16.7,8,1,2,17,88.2,10,60.0,20,80.0,17,3,2,1,0,60,13,117349,166,111
39,send,2016,Ｇ大阪,2,1,3,61,65,19.1,27,3.7,53.1,25.58,15.33,108.04,12.88,11,1,559,76.9,26,46.2,11,1,6,26,100.0,23,56.5,29,89.7,21,3,3,1,0,55,18,114646,149,141
40,send,2016,浦和,2,1,3,41,31,6.8,8,12.5,36.4,7.94,6.70,61.89,27.15,2,0,278,62.2,6,33.3,11,5,1,15,86.7,7,28.6,27,66.7,45,1,1,1,0,24,7,114646,160,118
41,send,2016,神戸,1,2,2,54,43,9.9,13,15.4,40.7,11.86,9.36,103.13,22.44,5,0,372,62.4,10,30.0,16,1,2,18,88.9,14,50.0,31,71.0,44,2,4,1,0,44,11,114646,134,131
42,send,2016,鳥栖,2,0,2,32,37,3.4,4,0.0,47.4,8.92,6.51,78.11,15.23,0,0,376,68.9,12,25.0,16,4,2,21,90.5,11,45.5,19,73.7,20,1,3,5,1,32,4,105118,150,118
43,send,2016,川崎Ｆ,1,1,1,55,43,11.8,15,6.7,48.7,15.30,11.02,97.81,14.80,2,0,437,76.2,20,30.0,14,4,2,26,80.8,9,66.7,21,71.4,19,3,3,1,0,42,12,105118,139,127
44,send,2016,福岡,0,2,0,61,60,16.0,19,10.5,58.0,20.36,17.33,82.11,14.89,7,0,608,81.3,19,15.8,10,4,7,16,81.3,18,38.9,16,87.5,16,1,3,0,0,65,18,118762,194,119
45,send,2016,大宮,2,0,1,54,49,9.8,12,0.0,49.0,16.91,12.68,61.63,15.67,0,0,469,77.2,24,25.0,12,4,1,24,79.2,7,71.4,8,50.0,26,7,1,2,0,47,15,119378,179,122
46,send,2016,湘南,0,1,0,54,58,11.6,17,5.9,48.4,11.21,7.48,81.72,12.68,4,0,363,59.8,16,31.3,15,6,5,33,93.9,12,41.7,19,68.4,17,5,4,0,0,30,14,119378,185,147
47,send,2016,新潟,0,4,2,53,48,9.8,13,30.8,45.3,13.17,9.45,95.99,14.65,5,0,374,73.5,17,29.4,13,4,4,17,88.2,14,42.9,24,70.8,24,2,7,1,0,40,12,117294,180,133
48,send,2016,柏,0,2,0,47,60,11.3,14,14.3,41.3,10.53,7.10,68.70,20.43,4,1,324,70.4,14,14.3,10,1,7,15,93.3,17,64.7,26,84.6,32,3,0,2,0,30,8,117294,164,124
49,send,2016,甲府,0,2,1,58,59,17.9,22,9.1,67.3,28.46,21.90,78.97,9.19,8,0,721,86.4,27,22.2,11,1,10,21,90.5,19,57.9,13,76.9,14,2,1,1,0,72,25,119286,134,123
50,send,2016,磐田,2,0,3,49,47,13.1,18,0.0,53.4,16.28,12.99,84.24,11.18,4,0,527,73.2,13,23.1,8,0,6,36,88.9,11,54.5,17,70.6,21,5,6,1,0,39,13,119286,161,137
51,send,2016,川崎Ｆ,2,0,3,60,53,8.5,10,0.0,49.9,18.02,14.88,83.08,9.99,2,0,490,76.9,26,7.7,11,5,5,24,95.8,23,52.2,25,76.0,28,6,3,3,0,55,15,115094,149,117
