,team,season,Opponent,result,home score,away score,AGI,KAGI,Chance create,Total shots,Acc. Shots,Ball possession,Offence CBP,Pass CBP,Capture P,Defence P,Shots on target,Shots by PK,Passes,Acc. passes,Crosses,Acc. Crosses,Direct FK,Indirect FK,CK,throw-ins,Acc. throw-ins,Dribbles,Acc. Dribbles,Tackles,Acc. Tackles,Clearances,Interceptions,Offsides,Yellow cards,Red cards,Entries of 30m line,Entries of Penalty area,Total running distance,Sprints,Attack times
0,tosu,2015,新潟,0,2,1,64,63,6.8,10,20.0,49.1,10.10,9.07,119.08,12.82,4,1,335,54.6,13,7.7,13,1,3,36,61.1,8,50.0,38,60.5,19,8,1,2,0,50,13,"107,810",134,147
1,tosu,2015,Ｇ大阪,0,1,0,43,56,11.3,13,7.7,36.7,7.56,5.11,75.15,19.39,3,0,258,62.4,6,16.7,12,1,5,14,85.7,14,42.9,24,87.5,33,5,1,2,0,21,9,"110,909",130,115
2,tosu,2015,横浜FM,2,0,1,47,52,7.1,9,0.0,43.2,8.19,7.44,97.33,12.19,3,0,307,65.5,10,10.0,16,2,5,27,70.4,4,50.0,27,66.7,44,1,2,2,0,34,10,"113,011",126,126
3,tosu,2015,鹿島,2,1,3,39,54,6.1,7,14.3,36.3,3.84,3.59,70.43,13.05,2,0,200,56.0,9,0.0,21,0,4,13,61.5,7,57.1,27,77.8,23,7,5,4,0,21,4,"110,983",154,115
4,tosu,2015,山形,0,1,0,58,41,9.0,12,8.3,48.6,13.02,8.53,104.68,17.21,2,0,331,63.4,18,38.9,17,4,3,23,52.2,8,50.0,20,65.0,34,3,1,1,0,33,15,"110,803",153,134
5,tosu,2015,甲府,0,3,0,45,56,8.4,12,25.0,47.9,12.89,11.34,130.36,17.51,4,1,420,71.4,8,37.5,13,1,3,24,70.8,5,60.0,20,75.0,26,6,4,1,0,28,12,"115,996",156,143
6,tosu,2015,柏,1,1,1,59,62,11.2,16,6.3,39.5,11.28,8.37,116.42,17.08,2,0,355,61.4,24,12.5,14,1,11,24,70.8,12,25.0,25,92.0,29,7,6,0,0,36,19,"119,019",179,143
7,tosu,2015,湘南,2,2,4,54,52,9.3,14,14.3,53.6,13.64,11.89,127.52,15.60,4,0,430,66.7,16,18.8,14,4,2,31,77.4,7,28.6,24,70.8,24,6,1,2,0,39,20,"118,098",144,151
8,tosu,2015,神戸,1,1,1,53,52,8.1,10,10.0,36.1,9.88,7.36,87.78,15.86,2,0,283,64.3,12,16.7,19,2,5,20,75.0,11,45.5,19,68.4,22,0,2,0,0,33,9,"113,576",166,124
9,tosu,2015,清水,1,2,2,54,45,9.0,13,15.4,52.5,14.69,11.57,91.70,17.56,4,0,413,67.1,21,19.0,17,1,9,24,45.8,7,42.9,17,64.7,20,3,5,2,0,43,17,"114,495",171,145
10,tosu,2015,松本,1,1,1,68,61,16.1,22,4.5,59.5,23.19,16.98,78.40,11.54,3,0,469,70.8,27,29.6,14,4,13,22,72.7,13,69.2,15,86.7,21,3,1,0,0,52,29,"110,661",130,137
11,tosu,2015,名古屋,0,1,0,62,49,10.1,14,7.1,50.6,14.06,11.29,99.43,15.97,4,0,389,67.6,25,8.0,14,1,6,21,47.6,13,53.8,27,92.6,23,6,3,0,0,53,17,"112,397",186,138
12,tosu,2015,川崎Ｆ,2,2,3,57,52,12.2,15,6.7,46.7,15.44,11.52,95.45,11.78,6,0,395,72.2,17,23.5,13,3,3,16,62.5,15,53.3,22,77.3,26,3,2,1,0,47,18,"116,049",163,123
13,tosu,2015,浦和,2,1,6,8,52,4.2,5,20.0,39.5,6.05,5.65,77.76,14.53,2,0,301,62.8,11,0.0,12,3,2,18,61.1,10,50.0,28,75.0,17,1,7,3,1,24,2,"107,497",133,119
14,tosu,2015,仙台,2,0,5,37,41,7.1,10,0.0,52.4,12.23,9.58,110.37,16.57,1,0,437,66.1,11,27.3,11,3,2,26,50.0,8,37.5,33,78.8,25,3,4,0,0,40,7,"115,282",132,140
15,tosu,2015,FC東京,2,1,2,46,62,7.7,11,9.1,48.0,10.67,8.56,118.62,12.66,4,0,362,61.9,12,0.0,9,1,4,35,68.6,12,58.3,20,65.0,15,1,4,1,0,34,10,"111,947",115,143
16,tosu,2015,広島,1,2,2,47,58,14.2,15,13.3,46.3,12.59,9.19,71.00,11.33,2,0,445,79.6,20,30.0,8,1,4,19,94.7,11,36.4,14,50.0,20,4,1,1,0,35,15,"114,957",115,106
17,tosu,2015,柏,0,3,2,43,52,4.9,6,50.0,37.3,7.72,6.17,70.93,18.11,3,0,291,63.6,7,28.6,9,2,7,22,45.5,6,50.0,14,92.9,26,3,2,3,0,20,11,"116,870",114,123
18,tosu,2015,川崎Ｆ,1,1,1,54,55,17.0,17,5.9,42.9,13.03,9.63,59.45,11.28,4,1,356,76.4,16,18.8,5,1,7,13,61.5,12,66.7,18,88.9,16,3,3,1,0,39,13,"110,612",113,100
19,tosu,2015,新潟,2,0,1,35,43,2.3,3,0.0,48.3,9.79,7.91,113.19,17.98,1,0,358,62.6,5,40.0,15,1,2,16,62.5,6,50.0,27,77.8,19,1,4,0,0,25,7,"111,330",147,131
20,tosu,2015,Ｇ大阪,1,1,1,40,53,7.9,9,11.1,39.0,10.18,7.61,62.51,13.51,2,0,316,71.2,11,18.2,7,1,6,21,66.7,7,57.1,14,78.6,20,4,1,0,0,29,7,"109,936",111,114
21,tosu,2015,湘南,1,1,1,47,68,9.8,13,7.7,50.0,13.16,10.88,114.77,13.93,4,0,405,71.1,11,18.2,18,2,4,18,83.3,10,60.0,19,68.4,9,2,7,1,0,35,11,"116,618",140,132
22,tosu,2015,鹿島,2,0,3,48,46,5.3,6,0.0,47.3,9.53,8.40,67.16,11.41,0,0,358,72.6,11,9.1,12,2,5,27,70.4,7,42.9,11,63.6,21,2,2,1,0,31,9,"106,501",127,114
23,tosu,2015,山形,0,3,1,43,43,7.5,10,30.0,40.6,9.73,6.51,83.41,22.06,3,0,276,62.0,12,16.7,17,1,4,21,66.7,7,85.7,11,72.7,30,2,3,0,0,24,10,"113,126",150,133
24,tosu,2015,横浜FM,2,1,2,49,47,11.3,15,6.7,50.4,11.68,9.13,93.34,16.34,7,0,364,67.0,21,4.8,12,1,7,18,61.1,13,61.5,21,81.0,22,5,0,2,0,36,14,"118,442",176,133
25,tosu,2015,神戸,2,1,7,51,43,9.4,11,9.1,47.1,11.81,8.43,78.71,17.71,4,0,400,75.0,19,21.1,6,2,10,26,76.9,10,50.0,15,66.7,29,4,0,0,0,34,15,"113,923",153,117
26,tosu,2015,清水,1,0,0,48,48,7.6,11,0.0,47.8,8.52,7.58,94.84,18.10,2,0,327,56.9,18,0.0,9,0,6,28,60.7,10,50.0,23,69.6,32,0,4,0,0,34,11,"118,584",143,145
27,tosu,2015,広島,1,0,0,32,54,9.3,9,0.0,37.9,8.35,7.83,72.86,19.33,2,0,367,78.5,4,0.0,6,4,6,14,50.0,8,25.0,13,92.3,32,2,0,2,0,21,6,"113,929",138,97
28,tosu,2015,甲府,2,0,1,45,68,10.1,13,0.0,63.2,12.32,10.96,91.71,10.21,1,0,520,78.5,17,11.8,6,4,8,22,77.3,9,44.4,25,76.0,17,2,0,0,0,46,13,"112,117",128,129
29,tosu,2015,浦和,1,1,1,47,49,6.3,7,14.3,34.9,7.76,7.07,69.47,21.16,2,0,241,66.4,8,12.5,13,2,3,23,60.9,8,12.5,16,81.3,31,2,2,1,0,27,7,"110,656",121,111
30,tosu,2015,名古屋,1,0,0,57,54,9.2,12,0.0,59.7,18.25,13.76,121.26,14.73,2,0,504,76.0,28,25.0,13,4,7,18,83.3,6,50.0,24,79.2,23,2,2,2,0,46,22,"122,458",164,131
31,tosu,2015,松本,0,2,1,57,57,9.1,13,15.4,55.5,14.53,11.40,82.65,16.81,5,0,406,65.3,16,25.0,15,0,5,31,74.2,14,42.9,16,93.8,30,1,3,1,0,49,14,"113,439",140,143
32,tosu,2015,仙台,0,1,0,56,45,11.7,12,8.3,41.9,10.82,8.46,55.75,11.35,3,0,338,73.7,7,28.6,6,0,4,23,73.9,9,33.3,16,75.0,20,1,3,0,0,33,13,"111,045",120,103
33,tosu,2015,FC東京,1,0,0,41,41,4.0,5,0.0,45.4,8.83,8.05,80.01,22.44,1,0,383,69.5,9,0.0,13,1,3,25,72.0,6,50.0,30,56.7,44,2,4,1,0,30,8,"118,185",123,124
34,tosu,2016,福岡,0,2,1,50,49,8.1,10,20.0,58.3,13.93,9.98,92.85,13.85,4,0,447,75.2,15,26.7,16,2,3,12,91.7,11,72.7,26,73.1,27,1,3,4,0,30,14,"117,152",156,123
35,tosu,2016,鹿島,2,0,1,51,50,6.2,9,0.0,59.3,18.61,13.92,96.43,11.24,2,0,597,79.6,18,33.3,19,2,3,32,81.3,14,71.4,21,85.7,18,2,1,0,0,50,15,"124,386",173,146
36,tosu,2016,甲府,1,1,1,57,62,9.3,13,7.7,67.7,23.10,17.40,108.36,10.83,4,0,746,81.5,38,26.3,18,2,3,26,92.3,21,42.9,20,85.0,18,0,1,0,0,73,21,"120,331",147,140
