,team,season,Opponent,result,home score,away score,AGI,KAGI,Chance create,Total shots,Acc. Shots,Ball possession,Offence CBP,Pass CBP,Capture P,Defence P,Shots on target,Shots by PK,Passes,Acc. passes,Crosses,Acc. Crosses,Direct FK,Indirect FK,CK,throw-ins,Acc. throw-ins,Dribbles,Acc. Dribbles,Tackles,Acc. Tackles,Clearances,Interceptions,Offsides,Yellow cards,Red cards,Entries of 30m line,Entries of Penalty area,Total running distance,Sprints,Attack times
0,uraw,2015,湘南,0,3,1,46,50,10.2,14,21.4,54.7,15.50,13.15,108.27,14.52,5,0,461,72.7,14,14.3,22,2,1,14,78.6,12,50.0,27,81.5,24,7,2,3,0,44,10,118326,147,137
1,uraw,2015,山形,0,1,0,50,70,12.6,18,5.6,66.5,18.34,15.83,108.63,10.65,3,0,647,79.6,14,21.4,19,2,7,29,86.2,14,35.7,19,63.2,11,6,0,0,0,44,16,113330,156,143
2,uraw,2015,広島,1,0,0,34,58,9.2,10,0.0,60.0,18.47,14.57,75.51,9.60,3,0,682,85.3,18,16.7,10,1,6,21,95.2,12,75.0,17,70.6,10,2,2,1,0,44,9,113330,174,109
3,uraw,2015,松本,0,1,0,60,67,28.6,36,2.8,72.6,30.56,20.78,82.45,10.50,9,0,746,84.2,25,28.0,16,3,5,23,87.0,27,55.6,16,93.8,10,7,1,0,0,77,28,115223,156,126
4,uraw,2015,川崎Ｆ,1,1,1,48,63,10.7,12,8.3,47.7,13.63,10.70,82.03,8.38,4,0,484,80.6,17,23.5,9,1,8,27,88.9,15,40.0,22,81.8,9,1,4,1,0,41,17,115223,161,112
5,uraw,2015,横浜FM,0,2,1,52,65,11.4,15,13.3,54.3,19.03,13.51,120.04,12.39,5,0,561,78.8,26,23.1,15,2,2,15,93.3,13,69.2,23,78.3,17,1,4,1,0,47,24,115131,166,132
6,uraw,2015,名古屋,0,2,1,50,56,15.3,21,9.5,59.0,20.84,14.13,104.46,13.78,8,0,596,78.7,25,40.0,16,3,8,17,88.2,11,63.6,26,76.9,28,3,2,1,0,51,24,116242,249,137
7,uraw,2015,甲府,0,2,0,39,61,14.5,19,10.5,64.6,19.46,17.76,98.06,12.24,5,1,669,81.0,14,7.1,10,1,9,27,92.6,13,46.2,21,71.4,20,1,0,1,0,71,8,116242,168,131
8,uraw,2015,Ｇ大阪,0,1,0,57,62,9.7,13,7.7,58.8,20.30,14.66,117.03,9.78,3,0,563,80.8,21,23.8,16,2,9,19,94.7,20,55.0,17,76.5,13,6,0,1,0,60,16,112453,158,134
9,uraw,2015,仙台,1,4,4,57,51,17.1,21,19.0,66.2,26.41,20.85,65.29,13.69,8,0,715,80.7,23,17.4,14,1,8,24,100.0,19,52.6,15,86.7,17,3,0,1,0,68,20,112453,145,123
10,uraw,2015,FC東京,0,4,1,44,43,13.4,17,23.5,48.8,13.66,10.07,93.52,17.77,8,0,392,72.7,9,44.4,11,2,4,16,100.0,20,40.0,34,88.2,30,3,0,0,0,39,11,113738,165,127
11,uraw,2015,鹿島,0,2,1,48,59,12.5,16,12.5,54.0,14.40,10.88,88.22,11.09,3,0,480,77.7,12,25.0,19,0,6,21,90.5,13,46.2,26,84.6,21,2,2,3,0,43,16,110895,173,128
12,uraw,2015,鳥栖,0,6,1,48,92,14.8,18,33.3,60.5,19.68,17.12,90.68,13.19,10,0,589,81.8,11,18.2,12,7,3,15,93.3,11,27.3,16,75.0,20,3,3,2,0,59,14,110895,139,122
13,uraw,2015,柏,1,3,3,55,54,11.3,14,21.4,51.6,18.61,15.18,104.65,11.36,7,0,534,80.0,16,25.0,10,2,8,16,81.3,12,50.0,22,77.3,26,6,2,1,0,60,20,110895,174,124
14,uraw,2015,清水,0,1,0,43,55,8.3,12,8.3,47.2,15.55,10.10,101.15,17.04,4,0,413,69.0,13,38.5,18,4,2,24,91.7,19,57.9,31,80.6,20,1,2,1,0,31,13,113058,177,145
15,uraw,2015,神戸,1,1,1,48,53,10.5,14,7.1,41.6,12.03,9.44,110.51,14.75,6,0,337,73.0,4,50.0,23,3,1,17,100.0,13,53.8,37,64.9,28,5,4,2,1,34,15,113058,156,133
16,uraw,2015,新潟,0,5,2,48,46,11.5,15,33.3,58.4,17.94,14.86,100.63,12.17,6,1,535,80.4,17,11.8,17,0,3,14,92.9,18,61.1,24,79.2,16,4,3,0,0,46,17,111237,160,131
17,uraw,2015,松本,0,2,1,48,41,8.9,11,18.2,67.8,17.88,14.60,64.53,17.23,2,0,580,84.5,18,16.7,10,2,8,19,94.7,13,30.8,14,78.6,32,2,1,3,0,51,20,111237,159,123
18,uraw,2015,山形,1,0,0,43,42,12.0,15,0.0,63.8,13.45,10.71,62.71,11.23,4,0,486,79.2,11,27.3,10,1,10,27,92.6,15,40.0,18,77.8,23,1,1,4,1,31,10,111237,130,125
19,uraw,2015,広島,2,1,2,53,57,21.7,26,3.8,61.2,23.57,18.41,93.81,9.07,9,1,633,84.8,16,31.3,9,2,9,18,94.4,17,58.8,17,88.2,8,4,2,0,0,60,27,108760,143,120
20,uraw,2015,名古屋,2,1,2,51,58,12.6,15,0.0,58.0,20.72,16.21,69.68,9.92,4,0,603,83.1,20,25.0,14,2,7,17,82.4,13,53.8,19,52.6,11,1,3,0,1,51,16,108760,154,119
21,uraw,2015,甲府,1,1,1,52,58,22.0,22,4.5,70.2,28.36,24.34,76.42,7.95,5,1,877,87.5,25,20.0,3,1,12,12,100.0,14,28.6,15,60.0,7,4,0,1,0,81,26,108282,103,100
22,uraw,2015,新潟,0,2,1,48,51,16.0,21,9.5,57.2,18.96,12.94,85.71,17.07,9,0,495,79.4,15,46.7,18,4,5,18,77.8,17,52.9,24,79.2,20,6,0,3,0,46,16,108282,153,131
23,uraw,2015,湘南,0,1,0,49,47,8.7,12,8.3,58.5,17.56,12.68,89.19,13.19,3,0,517,76.2,18,33.3,9,3,3,21,90.5,15,40.0,20,80.0,21,4,2,2,0,45,15,108984,167,138
24,uraw,2015,仙台,0,3,1,37,56,14.3,16,18.8,61.2,17.10,15.42,67.14,12.59,5,0,630,83.0,10,10.0,16,2,3,15,73.3,7,57.1,9,77.8,14,3,1,1,0,39,11,107596,121,112
25,uraw,2015,横浜FM,2,0,4,52,56,18.2,18,0.0,63.3,26.64,17.37,59.88,6.03,2,0,680,87.2,21,47.6,14,2,3,18,100.0,23,78.3,19,78.9,9,4,2,1,0,71,19,107596,129,99
26,uraw,2015,柏,0,1,0,51,58,15.8,18,5.6,61.6,20.86,15.74,93.59,10.78,9,0,640,83.0,22,4.5,11,1,7,24,95.8,23,65.2,13,69.2,19,3,3,2,0,66,15,108443,159,114
27,uraw,2015,清水,0,4,1,45,48,12.8,16,25.0,57.2,17.39,13.01,81.36,15.15,6,0,504,78.0,19,26.3,8,2,7,18,94.4,15,46.7,21,66.7,19,10,6,1,0,48,16,108443,216,125
28,uraw,2015,鹿島,0,2,1,40,33,8.7,11,18.2,53.5,12.00,8.26,98.17,20.52,4,0,355,71.0,10,40.0,13,4,3,17,88.2,11,36.4,22,77.3,35,4,3,0,0,30,11,108443,170,127
29,uraw,2015,鳥栖,1,1,1,51,53,20.4,23,4.3,65.1,20.73,15.44,53.47,9.41,5,0,621,83.6,24,20.8,13,2,7,23,95.7,18,66.7,19,84.2,14,3,2,1,0,64,20,107568,123,113
30,uraw,2015,Ｇ大阪,2,1,2,62,59,22.1,25,4.0,59.2,28.42,22.37,86.21,11.27,10,0,698,82.5,34,20.6,7,0,6,18,88.9,16,62.5,20,70.0,13,4,1,0,0,86,20,107568,148,113
31,uraw,2015,FC東京,0,4,3,44,41,7.4,9,44.4,56.4,13.90,12.45,80.24,17.04,5,0,457,77.9,13,7.7,12,6,1,13,84.6,7,57.1,17,70.6,40,2,2,2,0,38,12,107568,160,121
32,uraw,2015,川崎Ｆ,1,1,1,54,44,12.3,14,7.1,60.8,22.56,19.45,98.11,12.66,5,0,647,82.2,20,20.0,12,5,4,16,100.0,8,37.5,27,81.5,21,3,1,3,0,57,20,115682,201,114
33,uraw,2015,神戸,0,5,2,41,49,9.8,12,41.7,55.9,16.15,12.71,121.68,13.33,8,0,535,78.3,17,23.5,16,2,1,14,92.9,12,41.7,25,92.0,14,5,0,2,0,32,17,111713,175,123
