,team,season,Opponent,result,home score,away score,AGI,KAGI,Chance create,Total shots,Acc. Shots,Ball possession,Offence CBP,Pass CBP,Capture P,Defence P,Shots on target,Shots by PK,Passes,Acc. passes,Crosses,Acc. Crosses,Direct FK,Indirect FK,CK,throw-ins,Acc. throw-ins,Dribbles,Acc. Dribbles,Tackles,Acc. Tackles,Clearances,Interceptions,Offsides,Yellow cards,Red cards,Entries of 30m line,Entries of Penalty area,Total running distance,Sprints,Attack times
0,y-fm,2015,川崎Ｆ,2,1,3,42,39,10.8,13,7.7,49.7,13.14,12.03,87.25,13.06,7,0,518,78.8,13,15.4,14,0,2,19,100.0,7,28.6,29,62.1,28,5,2,1,0,38,12,"120,379",148,120
1,y-fm,2015,FC東京,1,0,0,51,40,7.4,11,0.0,46.1,14.09,11.71,111.36,26.50,4,0,484,71.5,17,11.8,11,1,5,32,90.6,15,33.3,26,73.1,31,2,1,0,0,36,12,"114,265",139,148
2,y-fm,2015,鳥栖,0,1,0,48,53,8.9,11,9.1,56.8,14.89,12.34,63.81,13.55,4,0,461,75.5,9,22.2,22,3,4,23,78.3,10,50.0,16,93.8,34,0,2,1,0,33,12,"112,558",118,123
3,y-fm,2015,柏,0,2,1,41,52,9.9,14,14.3,47.2,16.01,11.94,114.52,17.97,4,0,544,76.3,13,46.2,17,1,4,21,90.5,12,25.0,29,82.8,23,6,4,1,0,35,10,"124,108",155,142
4,y-fm,2015,仙台,1,1,1,53,45,10.6,15,6.7,54.1,16.21,14.51,100.28,14.36,5,0,566,74.7,9,11.1,19,1,7,26,84.6,11,45.5,25,64.0,25,3,1,2,0,36,14,"113,340",133,142
5,y-fm,2015,浦和,2,1,2,35,48,5.7,8,12.5,45.7,11.47,10.75,103.76,17.91,4,0,456,75.9,8,12.5,14,4,4,29,86.2,6,33.3,23,73.9,20,2,2,2,0,25,9,"115,901",150,141
6,y-fm,2015,湘南,0,3,0,60,53,10.4,14,21.4,46.2,16.44,14.70,107.87,12.52,9,0,467,71.9,13,23.1,11,2,5,20,95.0,7,28.6,29,72.4,23,4,0,1,0,44,17,"117,176",181,134
7,y-fm,2015,広島,2,1,2,33,53,7.5,8,12.5,50.4,14.45,13.65,72.66,17.31,3,0,602,85.9,9,0.0,9,1,5,16,75.0,6,33.3,10,70.0,21,3,0,0,0,37,8,"119,187",136,107
8,y-fm,2015,山形,2,0,1,51,55,15.1,22,0.0,58.9,19.54,16.95,96.14,13.80,4,0,560,77.5,9,33.3,16,4,4,31,87.1,6,50.0,21,71.4,16,1,5,0,0,38,15,"111,706",139,146
9,y-fm,2015,名古屋,0,2,0,48,54,13.5,15,13.3,59.2,20.11,16.99,103.05,14.29,8,0,725,86.5,13,23.1,11,1,3,17,88.2,6,66.7,21,85.7,17,4,1,2,0,50,18,"114,156",160,111
10,y-fm,2015,新潟,0,1,0,56,46,6.5,9,11.1,50.5,14.76,12.65,106.88,15.82,2,0,441,74.4,11,18.2,6,4,5,27,88.9,18,22.2,22,86.4,18,3,8,0,0,40,18,"113,246",150,139
11,y-fm,2015,清水,0,2,1,43,51,8.2,12,16.7,55.1,14.49,10.45,111.62,13.18,4,0,518,72.4,12,33.3,10,6,3,28,96.4,15,53.3,28,85.7,31,6,6,2,0,37,11,"113,924",186,146
12,y-fm,2015,松本,0,3,0,39,54,9.9,16,18.8,59.7,12.57,11.10,103.04,15.56,5,0,521,65.8,7,14.3,11,8,3,43,62.8,10,30.0,18,94.4,22,2,1,1,0,39,9,"116,240",163,162
13,y-fm,2015,Ｇ大阪,1,1,1,47,48,10.9,13,7.7,42.8,14.66,12.83,83.72,19.37,5,1,463,76.0,11,9.1,11,1,3,20,85.0,8,62.5,26,65.4,22,7,1,0,0,34,13,"114,675",151,119
14,y-fm,2015,甲府,1,1,1,36,51,5.6,7,0.0,57.4,15.12,13.16,91.95,13.95,2,0,600,80.2,9,11.1,7,3,5,21,81.0,11,54.5,26,76.9,18,2,2,0,0,32,8,"108,806",116,125
15,y-fm,2015,鹿島,2,0,3,36,48,8.1,11,0.0,57.6,15.28,13.47,90.21,9.77,4,0,592,79.7,7,28.6,13,2,3,29,96.6,7,42.9,11,90.9,9,0,3,2,0,41,7,"114,728",153,136
16,y-fm,2015,神戸,1,1,1,45,48,15.0,18,5.6,55.3,17.52,13.73,78.93,14.71,4,0,555,82.3,7,42.9,13,1,2,33,93.9,11,63.6,29,69.0,18,4,1,2,0,37,11,"115,146",159,120
